name,director,actors,genre,other,year,link
Wanted,Timur Bekmambetov,NA,Action,NA,2008,/wiki/Wanted_(2008_film)
Wanted: Dead or Alive,Gary Sherman,NA,Action,based on 1950s TV series,1987,/wiki/Wanted:_Dead_or_Alive_(1987_film)
Wanted! Jane Turner,Edward Killy,NA,"Drama, Crime",RKO,1936,/wiki/Wanted!_Jane_Turner
War,Philip Atwell,NA,Action,NA,2007,/wiki/War_(2007_film)
War and Peace,King Vidor,NA,"Drama, Epic",NA,1956,/wiki/War_and_Peace_(1956_film)
War and Remembrance,Dan Curtis,NA,"Drama, War",NA,1988,/wiki/War_and_Remembrance
War Arrow,George Sherman,NA,Western,Universal,1954,/wiki/War_Arrow
War Babies,Charles Lamont,NA,Comedy,NA,1932,/wiki/War_Babies_(1932_film)
War Comes to America,NA,NA,War documentary,NA,1945,/wiki/War_Comes_to_America
War Correspondent,Paul Sloane,NA,Action,Columbia,1932,/w/index.php?title=War_Correspondent_(film)&action=edit&redlink=1
War Hunt,Denis Sanders,NA,War,United Artists,1962,/wiki/War_Hunt
War Is Hell,Burt Topper,Audie Murphy,War,NA,1961,/wiki/War_Is_Hell_(film)
War Nurse,Edgar Selwyn,NA,"Drama, War",NA,1930,/wiki/War_Nurse
War of the Colossal Beast,Bert I. Gordon,Sally Fraser,Science fiction,A.I.P.,1958,/wiki/War_of_the_Colossal_Beast
War of the Wildcats,Albert S. Rogell,NA,Western,NA,1943,/wiki/War_of_the_Wildcats
War of the Worlds,Steven Spielberg,NA,Science fiction,NA,2005,/wiki/War_of_the_Worlds_(2005_film)
War Paint,Lesley Selander,NA,Western,United Artists,1953,/wiki/War_Paint_(1953_film)
War Party,Franc Roddam,NA,Drama,NA,1988,/wiki/War_Party_(film)
War Pigs,Ryan Little,NA,Action war,WW2 action drama,2015,/wiki/War_Pigs_(film)
"War, Inc.",Joshua Seftel,NA,Action,NA,2008,"/wiki/War,_Inc."
War/Dance,NA,NA,Documentary,NA,2007,/wiki/War/Dance
WarGames,John Badham,NA,Drama,NA,1983,/wiki/WarGames
Warlock,Edward Dmytryk,NA,Western,20th Century Fox,1959,/wiki/Warlock_(1959_film)
Warlock,Steve Miner,NA,Horror,NA,1989,/wiki/Warlock_(1989_film)
Warlock: The Armageddon,Anthony Hickox,NA,Horror,NA,1993,/wiki/Warlock:_The_Armageddon
Warning Shot,Buzz Kulik,NA,Crime drama,Paramount,1967,/wiki/Warning_Shot
Warpath,Byron Haskin,NA,Western,Paramount,1951,/wiki/Warpath_(film)
Warrior,Gavin O'Connor,NA,Action drama,Lionsgate,2011,/wiki/Warrior_(2011_film)
Warrior of the Lost World,David Worth,NA,Sci-fi,made in Italy,1983,/wiki/Warrior_of_the_Lost_World
Warriors of Virtue,Ronny Yu,NA,Fantasy,NA,1997,/wiki/Warriors_of_Virtue
Wartime Nutrition,NA,NA,NA,NA,1943,/wiki/Wartime_Nutrition
Washington Melodrama,S. Sylvan Simon,NA,Drama,MGM,1941,/wiki/Washington_Melodrama
Washington Merry-Go-Round,James Cruze,NA,Drama,Columbia,1932,/wiki/Washington_Merry-Go-Round_(film)
Washington Square,Agnieszka Holland,NA,Drama,NA,1997,/wiki/Washington_Square_(film)
Washington Story,Robert Pirosh,NA,Drama,MGM,1952,/wiki/Washington_Story
Watch It,Tom Flynn,NA,Comedy,NA,1993,/w/index.php?title=Watch_It&action=edit&redlink=1
Watch on the Rhine,Herman Shumlin,NA,Drama,NA,1943,/wiki/Watch_on_the_Rhine
Watch the Birdie,Jack Donohue,NA,Comedy,MGM,1950,/wiki/Watch_the_Birdie_(1950_film)
Watchers,NA,Corey Haim,Drama,NA,1988,/wiki/Watchers_(1988_film)
Watchmen,Zack Snyder,NA,Superhero,NA,2009,/wiki/Watchmen_(film)
Water for Elephants,Francis Lawrence,NA,Drama,NA,2011,/wiki/Water_for_Elephants_(film)
"Water, Water Every Hare",Charles M. Jones,Bugs Bunny,Animated short,Warner Bros.,1952,"/wiki/Water,_Water_Every_Hare"
Waterfront,Terry O. Morse,NA,Drama,Warner Bros.,1939,/wiki/Waterfront_(1939_film)
Waterfront,Steve Sekely,NA,"War, Drama",PRC,1944,/wiki/Waterfront_(1944_film)
Waterfront at Midnight,William Berke,NA,Crime,NA,1948,/wiki/Waterfront_at_Midnight
Waterfront Lady,Joseph Santley,NA,Drama,NA,1935,/wiki/Waterfront_Lady
Waterhole No. 3,William A. Graham,NA,Comedy western,Paramount,1967,/wiki/Waterhole_No._3
Waterloo Bridge,James Whale,NA,"Drama, War",NA,1931,/wiki/Waterloo_Bridge_(1931_film)
Waterloo Bridge,Mervyn LeRoy,NA,War drama,NA,1940,/wiki/Waterloo_Bridge_(1940_film)
Watermarks,Yaron Zilberman,NA,Documentary,NA,2004,/wiki/Watermarks_(film)
Watermelon Man,Melvin Van Peebles,NA,Comedy,Columbia,1970,/wiki/Watermelon_Man_(film)
Waterworld,Kevin Costner,NA,"Action, Science fiction",NA,1995,/wiki/Waterworld
Watusi,Kurt Neumann,NA,Adventure,NA,1959,/wiki/Watusi_(film)
Wavelength,Mike Gray,NA,Sci-fi,New World,1983,/wiki/Wavelength_(1983_film)
Waxwork,Anthony Hickox,NA,Horror,NA,1988,/wiki/Waxwork_(1988_film)
Waxwork II: Lost in Time,Anthony Hickox,Bruce Campbell,Horror comedy,sequel,1992,/wiki/Waxwork_II:_Lost_in_Time
Way Back Home,William A. Seiter,NA,"Comedy, Drama",NA,1931,/wiki/Way_Back_Home_(1931_film)
Way Down East,Henry King,NA,Drama,NA,1935,/wiki/Way_Down_East_(1935_film)
Way Down South,Leslie Goodwins,NA,Musical,RKO,1939,/wiki/Way_Down_South_(film)
Way for a Sailor,Sam Wood,NA,NA,NA,1930,/wiki/Way_for_a_Sailor
Way of a Gaucho,Jacques Tourneur,NA,Western,Fox,1952,/wiki/Way_of_a_Gaucho
Way Out West,Fred Niblo,NA,"Comedy, Western",NA,1930,/wiki/Way_Out_West_(1930_film)
Way Out West,James W. Horne,NA,Comedy,NA,1937,/wiki/Way_Out_West_(1937_film)
Way...Way Out,Gordon Douglas,NA,Comedy,20th Century Fox,1966,/wiki/Way...Way_Out
Wayne's World,Penelope Spheeris,NA,Comedy,NA,1992,/wiki/Wayne%27s_World_(film)
Wayne's World 2,Stephen Surjik,NA,Comedy,NA,1993,/wiki/Wayne%27s_World_2
Wayward,Edward Sloman,NA,Drama,Paramount,1932,/wiki/Wayward
We Are Marshall,McG,NA,Drama,NA,2006,/wiki/We_Are_Marshall
We Are Not Alone,Edmund Goulding,NA,Drama,NA,1939,/wiki/We_Are_Not_Alone_(1939_film)
We Are the Marines,Louis de Rochemont,NA,War documentary,20th Century Fox,1942,/wiki/We_Are_the_Marines
We Are the Strange,M. dot Strange,Chaylon Blancett,Animation,NA,2007,/wiki/We_Are_the_Strange
We Bought a Zoo,Cameron Crowe,NA,Comedy-drama,NA,2011,/wiki/We_Bought_a_Zoo
We Don't Live Here Anymore,John Curran,NA,Drama,NA,2004,/wiki/We_Don%27t_Live_Here_Anymore
We Go Fast,William McGann,NA,Drama,NA,1941,/wiki/We_Go_Fast
We Live Again,Rouben Mamoulian,NA,Drama,NA,1934,/wiki/We_Live_Again
We Live in Public,Ondi Timoner,NA,Documentary,NA,2009,/wiki/We_Live_in_Public
We Own the Night,James Gray,NA,Crime drama,NA,2007,/wiki/We_Own_the_Night_(film)
We Want Our Mummy,Del Lord,The Three Stooges,NA,Columbia,1939,/wiki/We_Want_Our_Mummy
We Were Dancing,Robert Z. Leonard,NA,Comedy,MGM,1942,/wiki/We_Were_Dancing_(film)
We Were Soldiers,Randall Wallace,NA,War,NA,2002,/wiki/We_Were_Soldiers
We Were Strangers,John Huston,NA,Adventure,Paramount,1949,/wiki/We_Were_Strangers
We Who Are About to Die,Christy Cabanne,NA,"Drama, Crime",NA,1937,/wiki/We_Who_Are_About_to_Die
We Who Are Young,Harold S. Bucquet,NA,Drama,MGM,1940,/wiki/We_Who_Are_Young
We're Back! A Dinosaur's Story,Simon Wells,NA,Animated,NA,1993,/wiki/We%27re_Back!_A_Dinosaur%27s_Story_(film)
We're in the Money,Ray Enright,NA,Comedy,NA,1935,/wiki/We%27re_in_the_Money_(film)
We're No Angels,Michael Curtiz,NA,Comedy,Paramount,1955,/wiki/We%27re_No_Angels_(1955_film)
We're No Angels,Neil Jordan,NA,Comedy,NA,1989,/wiki/We%27re_No_Angels_(1989_film)
We're Not Dressing,Norman Taurog,NA,"Comedy, Musical",NA,1934,/wiki/We%27re_Not_Dressing
We're Not Married!,Edmund Goulding,NA,Romantic comedy,Fox,1952,/wiki/We%27re_Not_Married!
We're on the Jury,Ben Holmes,NA,Comedy,NA,1937,/wiki/We%27re_on_the_Jury
We're Only Human,James Flood,NA,Drama,NA,1935,/wiki/We%27re_Only_Human_(1935_film)
We're Rich Again,William A. Seiter,NA,Comedy,NA,1934,/wiki/We%27re_Rich_Again
We've Never Been Licked,John Rawlins,NA,War,Universal,1943,/wiki/We%27ve_Never_Been_Licked
Weapons of Mass Distraction,Stephen Surjik,NA,Comedy,Made-for-TV,1997,/wiki/Weapons_of_Mass_Distraction
Web of Danger,Philip Ford,NA,Crime,Republic,1947,/wiki/Web_of_Danger
Wedding Bell Blues,Dana Lustig,NA,Comedy,NA,1996,/wiki/Wedding_Bell_Blues_(film)
Wedding Crashers,David Dobkin,NA,Comedy,NA,2005,/wiki/Wedding_Crashers
Wedding Present,Richard Wallace,NA,Drama,Paramount,1936,/wiki/Wedding_Present_(film)
Weddings and Babies,Morris Engel,Viveca Lindfors,Drama,NA,1960,/wiki/Weddings_and_Babies
Wednesday's Child,John S. Robertson,NA,Drama,NA,1934,/wiki/Wednesday%27s_Child_(film)
Wee Willie Winkie,John Ford,NA,Adventure,Fox,1937,/wiki/Wee_Willie_Winkie_(film)
Weeds,John D. Hancock,NA,Drama,NA,1987,/wiki/Weeds_(film)
Week Ends Only,Alan Crosland,NA,Romance,Fox,1932,/wiki/Week_Ends_Only
Week-End at the Waldorf,Robert Z. Leonard,NA,Romantic comedy,MGM,1945,/wiki/Week-End_at_the_Waldorf
Week-End in Havana,Walter Lang,NA,Musical comedy,20th Century Fox,1941,/wiki/Week-End_in_Havana
Week-End Marriage,Thornton Freeland,NA,Comedy,Warner Bros.,1932,/wiki/Week-End_Marriage
Week-End with Father,Douglas Sirk,NA,Comedy,Universal,1951,/wiki/Week-End_with_Father
Weekend at Bernie's,Ted Kotcheff,NA,Comedy,followed by 1993 sequel,1989,/wiki/Weekend_at_Bernie%27s
Weekend at Bernie's II,Robert Klane,NA,Comedy,NA,1993,/wiki/Weekend_at_Bernie%27s_II
Weekend for Three,Irving Reis,NA,Comedy,RKO,1941,/wiki/Weekend_for_Three
Weird Science,John Hughes,NA,Comedy,Universal,1985,/wiki/Weird_Science_(film)
Weird Woman,Reginald Le Borg,NA,Horror,Inner Sanctum,1944,/wiki/Weird_Woman
Welcome Home,Franklin J. Schaffner,NA,Drama,Schaffner's final film,1989,/wiki/Welcome_Home_(1989_film)
Welcome Home Roscoe Jenkins,Malcolm D. Lee,NA,Comedy,Universal Studios,2008,/wiki/Welcome_Home_Roscoe_Jenkins
"Welcome Home, Roxy Carmichael",Jim Abrahams,NA,Comedy,NA,1990,"/wiki/Welcome_Home,_Roxy_Carmichael"
Welcome Stranger,Elliott Nugent,NA,Drama,Paramount,1947,/wiki/Welcome_Stranger_(film)
Welcome to Collinwood,NA,NA,"Crime, Comedy",NA,2002,/wiki/Welcome_to_Collinwood
Welcome to Hard Times,Burt Kennedy,NA,Western,MGM,1967,/wiki/Welcome_to_Hard_Times_(film)
Welcome to L.A.,Alan Rudolph,NA,Drama,United Artists,1976,/wiki/Welcome_to_L.A.
Welcome to Mooseport,Donald Petrie,NA,Comedy,NA,2004,/wiki/Welcome_to_Mooseport
Welcome to Nollywood,Jamie Meltzer,NA,Documentary,NA,2007,/wiki/Welcome_to_Nollywood
Welcome to Sarajevo,Michael Winterbottom,NA,Drama,NA,1997,/wiki/Welcome_to_Sarajevo
Welcome to the Dollhouse,Todd Solondz,Heather Matarazzo,Drama,NA,1995,/wiki/Welcome_to_the_Dollhouse
Welcome to the Rileys,Jake Scott,NA,Drama,NA,2010,/wiki/Welcome_to_the_Rileys
Wells Fargo,Frank Lloyd,NA,"Drama, Western",Paramount,1937,/wiki/Wells_Fargo_(film)
Werewolf,Tony Zarindast,Jorge Rivero,Horror,made for TV,1996,/wiki/Werewolf_(1996_film)
Werewolf of London,Stuart Walker,NA,NA,NA,1935,/wiki/Werewolf_of_London
Werewolves on Wheels,Michel Levesque,Billy Gray,"horror, action",NA,1971,/wiki/Werewolves_on_Wheels
Wes Craven's New Nightmare,Wes Craven,NA,Horror,NA,1994,/wiki/Wes_Craven%27s_New_Nightmare
West 47th Street,NA,NA,Documentary,NA,2001,/wiki/West_47th_Street_(film)
West of Shanghai,NA,NA,"Drama, Adventure",NA,1937,/wiki/West_of_Shanghai
West of the Divide,Robert N. Bradbury,NA,Drama,NA,1934,/wiki/West_of_the_Divide
West of the Pecos,Phil Rosen,NA,Western,NA,1934,/wiki/West_of_the_Pecos_(1934_film)
West of Tombstone,Howard Bretherton,NA,Western,NA,1942,/wiki/West_of_Tombstone
West Point of the Air,Richard Rosson,NA,Drama,NA,1935,/wiki/West_Point_of_the_Air
West Point Widow,Robert Siodmak,NA,Comedy,Paramount,1941,/wiki/West_Point_Widow
West Side Story,NA,NA,Musical,NA,1961,/wiki/West_Side_Story_(film)
Westbound,Budd Boetticher,NA,Western,Warner Bros.,1959,/wiki/Westbound_(film)
Western Heritage,Wallace Grissell,NA,Western,RKO,1948,/wiki/Western_Heritage
Western Mail,Robert Tansey,Tom Keene,Western,NA,1942,/wiki/Western_Mail_(film)
Western Union,Fritz Lang,NA,Western,20th Century Fox,1941,/wiki/Western_Union_(film)
Westward Ho,Robert N. Bradbury,NA,Western,NA,1935,/wiki/Westward_Ho_(1935_film)
Westward Ho the Wagons!,William Beaudine,Fess Parker,Western,Disney,1956,/wiki/Westward_Ho_the_Wagons!
Westward Passage,Robert Milton,NA,Drama,RKO,1932,/wiki/Westward_Passage
Westward the Women,William A. Wellman,NA,Western,MGM,1951,/wiki/Westward_the_Women
Westworld,Michael Crichton,NA,Science fiction,NA,1973,/wiki/Westworld_(film)
Wet Hot American Summer,David Wain,NA,Comedy,NA,2001,/wiki/Wet_Hot_American_Summer
What a Life,Theodore Reed,NA,Comedy,Paramount,1939,/wiki/What_a_Life_(film)
What a Man!,George Crone,NA,Romantic comedy,NA,1930,/wiki/What_a_Man!_(1930_film)
What a Way to Go!,J. Lee Thompson,NA,Comedy,NA,1964,/wiki/What_a_Way_to_Go!
What a Widow!,Allan Dwan,NA,Romantic comedy,NA,1930,/wiki/What_a_Widow!
What a Woman!,Irving Cummings,NA,Comedy,NA,1943,/wiki/What_a_Woman!
What About Bob?,Frank Oz,NA,Comedy,NA,1991,/wiki/What_About_Bob%3F
"What Did You Do in the War, Daddy?",Blake Edwards,NA,Comedy,United Artists,1966,"/wiki/What_Did_You_Do_in_the_War,_Daddy%3F"
What Do You Say to a Naked Lady?,Allen Funt,Richard Roundtree,Comedy,NA,1970,/wiki/What_Do_You_Say_to_a_Naked_Lady%3F
What Doesn't Kill You,Brian Goodman,NA,Crime drama,Yari Film Group,2008,/wiki/What_Doesn%27t_Kill_You
What Dreams May Come,Vincent Ward,NA,Drama,NA,1998,/wiki/What_Dreams_May_Come_(film)
What Ever Happened to Aunt Alice?,Lee H. Katzin,NA,Horror,Based on Ursula Curtiss novel,1969,/wiki/What_Ever_Happened_to_Aunt_Alice%3F
What Ever Happened to Baby Jane?,Robert Aldrich,NA,Thriller,NA,1962,/wiki/What_Ever_Happened_to_Baby_Jane%3F_(1962_film)
What Every Woman Knows,Gregory La Cava,NA,"Comedy, Drama",NA,1934,/wiki/What_Every_Woman_Knows_(1934_film)
What Goes Up,Jonathan Glatzer,NA,Comedy-drama,Sony Pictures Entertainment,2009,/wiki/What_Goes_Up
What Happens in Vegas,Tom Vaughan,NA,Comedy,20th Century Fox,2008,/wiki/What_Happens_in_Vegas
What If...,Dallas Jenkins,NA,Comedy-drama,Pure Flix Entertainment,2010,/wiki/What_If..._(film)
What Just Happened,Barry Levinson,NA,Comedy,Magnolia Pictures,2008,/wiki/What_Just_Happened
What Lies Beneath,Robert Zemeckis,NA,Thriller,NA,2000,/wiki/What_Lies_Beneath
What Love Is,Mars Callahan,"Cuba Gooding, Jr.",Romantic comedy,NA,2007,/wiki/What_Love_Is
What Makes a Battle,NA,NA,NA,NA,1944,/wiki/What_Makes_a_Battle
What Planet Are You From?,Mike Nichols,NA,NA,NA,2000,/wiki/What_Planet_Are_You_From%3F
What Price Glory?,John Ford,NA,War,NA,1952,/wiki/What_Price_Glory%3F_(1952_film)
What Price Hollywood?,George Cukor,NA,Drama,RKO,1932,/wiki/What_Price_Hollywood%3F
What the Deaf Man Heard,NA,NA,Drama,Made-for-TV,1997,/wiki/What_the_Deaf_Man_Heard
What We Do Is Secret,Rodger Grossman,NA,Biography,NA,2007,/wiki/What_We_Do_Is_Secret_(film)
What Women Want,Nancy Meyers,NA,Comedy,NA,2000,/wiki/What_Women_Want
What You Mean We?,Laurie Anderson,Laurie Anderson,Short,NA,1986,/wiki/What_You_Mean_We%3F
What's a Nice Girl Like You Doing in a Place Like This?,Martin Scorsese,NA,Short subject,9 minutes,1963,/wiki/What%27s_a_Nice_Girl_Like_You_Doing_in_a_Place_Like_This%3F
What's Cookin' Doc?,Bob Clampett,Bugs Bunny,NA,Warner Bros.,1944,/wiki/What%27s_Cookin%27_Doc%3F
What's Cookin'?,Edward F. Cline,NA,Musical,Universal,1942,/wiki/What%27s_Cookin%27%3F
What's Love Got to Do with It,Brian Gibson,NA,"Biography, Drama",NA,1993,/wiki/What%27s_Love_Got_to_Do_with_It_(film)
What's New Pussycat?,Clive Donner,NA,Comedy,NA,1965,/wiki/What%27s_New_Pussycat%3F
"What's Opera, Doc?",NA,Bugs Bunny,Animated,NA,1957,"/wiki/What%27s_Opera,_Doc%3F"
What's So Bad About Feeling Good?,George Seaton,NA,Comedy,Universal,1968,/wiki/What%27s_So_Bad_About_Feeling_Good%3F
What's the Matter with Helen?,Curtis Harrington,NA,thriller,Filmways,1971,/wiki/What%27s_the_Matter_with_Helen%3F
What's the Worst That Could Happen?,Sam Weisman,NA,Comedy,NA,2001,/wiki/What%27s_the_Worst_That_Could_Happen%3F
What's Up Doc?,Robert McKimson,Looney Tunes,Animation,NA,1950,"/wiki/What%27s_Up,_Doc%3F_(1950_film)"
"What's Up, Doc?",Peter Bogdanovich,NA,Comedy,Kahn's 1st film,1972,"/wiki/What%27s_Up,_Doc%3F_(1972_film)"
"What's Up, Tiger Lily?",NA,NA,NA,Allen's first film,1966,"/wiki/What%27s_Up,_Tiger_Lily%3F"
What's Wrong with Virginia,Dustin Lance Black,NA,Drama,"TicTock Studios, Killer Films",2010,/wiki/Virginia_(2010_film)
What's Your Number?,Mark Mylod,NA,Romantic comedy,NA,2011,/wiki/What%27s_Your_Number%3F
Whatever It Takes,David Raynr,NA,Comedy,NA,2000,/wiki/Whatever_It_Takes_(2000_film)
Whatever Works,Woody Allen,NA,"Comedy, Romance",Sony Pictures Classics,2009,/wiki/Whatever_Works
When a Fellow Needs a Friend,Harry A. Pollard,NA,Drama,MGM,1932,/w/index.php?title=When_a_Fellow_Needs_a_Friend&action=edit&redlink=1
When a Man Loves a Woman,Luis Mandoki,NA,Drama,NA,1994,/wiki/When_a_Man_Loves_a_Woman_(film)
When a Man's a Man,Edward F. Cline,NA,Western,NA,1935,/wiki/When_a_Man%27s_a_Man
When a Stranger Calls,Fred Walton,NA,Thriller,Columbia,1979,/wiki/When_a_Stranger_Calls_(1979_film)
When a Stranger Calls,Simon West,Camilla Belle,Horror,NA,2006,/wiki/When_a_Stranger_Calls_(2006_film)
When Eagles Strike,Cirio H. Santiago,NA,NA,NA,2003,/wiki/When_Eagles_Strike
When Harry Met Sally...,Rob Reiner,NA,Romantic comedy,NA,1989,/wiki/When_Harry_Met_Sally...
When Hell Broke Loose,Kenneth Crane,NA,War,Paramount,1958,/wiki/When_Hell_Broke_Loose
When I Came Home,Dan Lohaus,NA,Documentary,NA,2006,/wiki/When_I_Came_Home
When I Grow Up,Michael Kanin,NA,Drama,United Artists,1951,/wiki/When_I_Grow_Up_(film)
When in Rome,Clarence Brown,NA,Comedy,MGM,1952,/wiki/When_in_Rome_(1952_film)
When in Rome,Mark Steven Johnson,NA,Romantic comedy,Touchstone Pictures,2010,/wiki/When_in_Rome_(2010_film)
When Ladies Meet,Harry Beaumont,NA,Drama,NA,1933,/wiki/When_Ladies_Meet_(1933_film)
When Ladies Meet,Robert Z. Leonard,NA,Romantic comedy,MGM,1941,/wiki/When_Ladies_Meet_(1941_film)
When My Baby Smiles at Me,Walter Lang,NA,Musical,20th Century Fox,1948,/wiki/When_My_Baby_Smiles_at_Me_(film)
When Strangers Appear,Scott Reynolds,NA,Drama,NA,2001,/wiki/When_Strangers_Appear
When Strangers Marry,Clarence G. Badger,NA,Drama,NA,1933,/w/index.php?title=When_Strangers_Marry_(1933_film)&action=edit&redlink=1
When Strangers Marry,William Castle,NA,Film noir,NA,1944,/wiki/When_Strangers_Marry
When the Daltons Rode,George Marshall,NA,Western,Universal,1940,/wiki/When_the_Daltons_Rode
When the Day Breaks,"Wendy Tilby, Amanda Forbis",NA,Animated,Short film,1999,/wiki/When_the_Day_Breaks
When the Legends Die,Stuart Millar,NA,Drama,NA,1972,/wiki/When_the_Legends_Die
When the Redskins Rode,Lew Landers,NA,Adventure,Columbia,1951,/wiki/When_the_Redskins_Rode
When Time Ran Out,James Goldstone,NA,Disaster film,NA,1980,/wiki/When_Time_Ran_Out
When Tomorrow Comes,John Stahl,NA,Drama,NA,1939,/wiki/When_Tomorrow_Comes_(film)
When We Were Kings,Leon Gast,NA,Documentary,NA,1996,/wiki/When_We_Were_Kings
When Will I Be Loved,James Toback,NA,Drama,NA,2004,/wiki/When_Will_I_Be_Loved_(film)
When Willie Comes Marching Home,John Ford,NA,Comedy,NA,1950,/wiki/When_Willie_Comes_Marching_Home
When Worlds Collide,Rudolph Mate,NA,Sci-fi,Paramount,1951,/wiki/When_Worlds_Collide_(1951_film)
"When You Comin' Back, Red Ryder?",Milton Katselas,NA,Drama,NA,1979,"/wiki/When_You_Comin%27_Back,_Red_Ryder%3F"
When You Remember Me,Harry Winer,NA,Drama,made for TV,1990,/wiki/When_You_Remember_Me
When You're in Love,NA,NA,Romantic Comedy,NA,1937,/wiki/When_You%27re_in_Love_(film)
When You're Smiling,Joseph Santley,NA,Musical,Columbia,1950,/wiki/When_You%27re_Smiling_(film)
"Where Angels Go, Trouble Follows",James Neilson,NA,Comedy,NA,1968,"/wiki/Where_Angels_Go,_Trouble_Follows"
Where Danger Lives,John Farrow,NA,Drama,Domergue's film debut,1950,/wiki/Where_Danger_Lives
Where Did You Get That Girl?,Arthur Lubin,NA,Musical comedy,Universal,1941,/wiki/Where_Did_You_Get_That_Girl%3F
Where Do We Go from Here?,Gregory Ratoff,NA,Musical,20th Century Fox,1945,/wiki/Where_Do_We_Go_from_Here%3F_(1945_film)
Where Eagles Dare,Brian G. Hutton,NA,War,NA,1968,/wiki/Where_Eagles_Dare
Where It's At,Garson Kanin,NA,Drama,United Artists,1969,/wiki/Where_It%27s_At_(film)
Where Love Has Gone,Edward Dmytryk,NA,Drama,NA,1964,/wiki/Where_Love_Has_Gone_(film)
Where the Boys Are,Henry Levin,NA,Comedy,NA,1960,/wiki/Where_the_Boys_Are
Where the Boys Are '84,Hy Averback,NA,Comedy,NA,1984,/wiki/Where_the_Boys_Are_%2784
Where the Buffalo Roam,Al Herman,NA,"Comedy, Drama",NA,1938,/wiki/Where_the_Buffalo_Roam_(1938_film)
Where the Buffalo Roam,Art Linson,NA,Comedy,NA,1980,/wiki/Where_the_Buffalo_Roam
Where the Day Takes You,Marc Rocco,NA,Drama,New Line,1992,/wiki/Where_the_Day_Takes_You
Where the Heart Is,John Boorman,NA,Drama,NA,1990,/wiki/Where_the_Heart_Is_(1990_film)
Where the Heart Is,Matt Williams,NA,NA,NA,2000,/wiki/Where_the_Heart_Is_(2000_film)
Where the Lilies Bloom,William A. Graham,NA,Family,NA,1974,/wiki/Where_the_Lilies_Bloom
Where the Money Is,Marek Kanievska,NA,NA,NA,2000,/wiki/Where_the_Money_Is
Where the Red Fern Grows,Norman Tokar,NA,Family,Crown,1974,/wiki/Where_the_Red_Fern_Grows_(1974_film)
Where the Sidewalk Ends,Otto Preminger,NA,Film noir,NA,1950,/wiki/Where_the_Sidewalk_Ends_(film)
Where the Toys Come From,Theodore Thomas,NA,Animation,NA,1984,/wiki/Where_the_Toys_Come_From
Where the Truth Lies,Atom Egoyan,NA,Drama,NA,2005,/wiki/Where_the_Truth_Lies
Where the West Begins,J. P. McGowan,NA,Western,NA,1938,/wiki/Where_the_West_Begins_(1938_film)
Where the Wild Things Are,Spike Jonze,NA,"Family, Fantasy",NA,2009,/wiki/Where_the_Wild_Things_Are_(film)
Where Were You When the Lights Went Out?,Hy Averback,NA,Comedy,NA,1968,/wiki/Where_Were_You_When_the_Lights_Went_Out%3F
Where's God When I'm S-Scared?,Phil Vischer,NA,"Animated, Faith",NA,1993,/wiki/Where%27s_God_When_I%27m_S-Scared%3F
Where's Poppa?,Carl Reiner,NA,Comedy,United Artists,1970,/wiki/Where%27s_Poppa%3F
Which Is Witch,Friz Freleng,Bugs Bunny,Animated,NA,1949,/wiki/Which_Is_Witch
Which Way Is Up?,Michael Schultz,NA,Comedy,Pryor in 3 roles,1977,/wiki/Which_Way_Is_Up%3F
Which Way to the Front?,Jerry Lewis,NA,Comedy,Warner Bros.,1970,/wiki/Which_Way_to_the_Front%3F
While Paris Sleeps,Allan Dwan,NA,Drama,Fox,1932,/wiki/While_Paris_Sleeps_(1932_film)
While the City Sleeps,Fritz Lang,NA,Film noir,RKO,1956,/wiki/While_the_City_Sleeps_(1956_film)
While the Patient Slept,Ray Enright,NA,Comedy,NA,1935,/wiki/While_the_Patient_Slept
While You Were Sleeping,Jon Turteltaub,NA,Romantic comedy,NA,1995,/wiki/While_You_Were_Sleeping_(film)
Whip It,Drew Barrymore,NA,Comedy-drama,NA,2009,/wiki/Whip_It_(film)
Whiplash,Lewis Seiler,NA,Western,Warner Bros.,1948,/wiki/Whiplash_(1948_film)
Whipped,Peter Cohen,NA,Comedy,NA,2000,/wiki/Whipped_(film)
Whipsaw,NA,NA,"Comedy, Drama",NA,1935,/wiki/Whipsaw_(film)
Whirlpool,Roy William Neill,NA,"Drama, Crime",NA,1934,/wiki/Whirlpool_(1934_film)
Whirlpool,Otto Preminger,NA,Drama,20th Century Fox,1949,/wiki/Whirlpool_(1949_film)
Whisper,Stewart Hendler,NA,Horror,NA,2007,/wiki/Whisper_(film)
Whispering City,Fyodor Ostep,NA,Drama,Eagle-Lion,1947,/wiki/Whispering_City
Whispering Ghosts,Alfred L. Werker,NA,Comedy,20th Century Fox,1942,/wiki/Whispering_Ghosts
Whispering Smith,Leslie Fenton,NA,Western,Paramount,1948,/wiki/Whispering_Smith
Whispers in the Dark,Christopher Crowe,NA,Thriller,Paramount,1992,/wiki/Whispers_in_the_Dark_(film)
Whistlin' Dan,Phil Rosen,NA,Western,NA,1932,/w/index.php?title=Whistlin%27_Dan&action=edit&redlink=1
Whistling Hills,Derwin Abrahams,NA,Western,Monogram,1951,/wiki/Whistling_Hills
Whistling in Brooklyn,S. Sylvan Simon,NA,Comedy,MGM,1943,/wiki/Whistling_in_Brooklyn
White Banners,Edmund Goulding,NA,Drama,NA,1938,/wiki/White_Banners
